ieee;nwk;model;device_name;entity_id;entity_name;domain;custom_name
28:76:81:ff:fe:9d:23:4d;0x275B;STOFTMOLN ceiling/wall lamp WW24;Entrance small ceiling lamp STOFTMOLN;button.entrance_small_stoftmoln_ceiling_lamp_ww24_identify;IKEA of Sweden STOFTMOLN ceiling/wall lamp WW24;button;
28:76:81:ff:fe:9d:23:4d;0x275B;STOFTMOLN ceiling/wall lamp WW24;Entrance small ceiling lamp STOFTMOLN;light.entrance_small_stoftmoln_ceiling_lamp_ww24_light;IKEA of Sweden STOFTMOLN ceiling/wall lamp WW24;light;
28:76:81:ff:fe:9d:23:4d;0x275B;STOFTMOLN ceiling/wall lamp WW24;Entrance small ceiling lamp STOFTMOLN;number.entrance_small_stoftmoln_ceiling_lamp_ww24_on_off_transition_time;IKEA of Sweden STOFTMOLN ceiling/wall lamp WW24;number;
28:76:81:ff:fe:9d:23:4d;0x275B;STOFTMOLN ceiling/wall lamp WW24;Entrance small ceiling lamp STOFTMOLN;number.entrance_small_stoftmoln_ceiling_lamp_ww24_on_level;IKEA of Sweden STOFTMOLN ceiling/wall lamp WW24;number;
28:76:81:ff:fe:9d:23:4d;0x275B;STOFTMOLN ceiling/wall lamp WW24;Entrance small ceiling lamp STOFTMOLN;number.entrance_small_stoftmoln_ceiling_lamp_ww24_start_up_current_level;IKEA of Sweden STOFTMOLN ceiling/wall lamp WW24;number;
28:76:81:ff:fe:9d:23:4d;0x275B;STOFTMOLN ceiling/wall lamp WW24;Entrance small ceiling lamp STOFTMOLN;select.entrance_small_stoftmoln_ceiling_lamp_ww24_start_up_behavior;IKEA of Sweden STOFTMOLN ceiling/wall lamp WW24;select;
28:76:81:ff:fe:9d:23:4d;0x275B;STOFTMOLN ceiling/wall lamp WW24;Entrance small ceiling lamp STOFTMOLN;update.entrance_small_stoftmoln_ceiling_lamp_ww24_firmware;IKEA of Sweden STOFTMOLN ceiling/wall lamp WW24;update;
5c:c7:c1:ff:fe:62:49:49;0xD3EA;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;button.ikea_tradfri_e14_kitchen_light_3_identify;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;button;
5c:c7:c1:ff:fe:62:49:49;0xD3EA;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;light.ikea_tradfri_e14_kitchen_light_3_light;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;light;
5c:c7:c1:ff:fe:62:49:49;0xD3EA;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;number.ikea_tradfri_e14_kitchen_light_3_on_off_transition_time;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;number;
5c:c7:c1:ff:fe:62:49:49;0xD3EA;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;number.ikea_tradfri_e14_kitchen_light_3_on_level;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;number;
5c:c7:c1:ff:fe:62:49:49;0xD3EA;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;number.ikea_tradfri_e14_kitchen_light_3_start_up_current_level;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;number;
5c:c7:c1:ff:fe:62:49:49;0xD3EA;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;number.ikea_tradfri_e14_kitchen_light_3_start_up_color_temperature;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;number;
5c:c7:c1:ff:fe:62:49:49;0xD3EA;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;select.ikea_tradfri_e14_kitchen_light_3_start_up_behavior;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;select;
5c:c7:c1:ff:fe:62:49:49;0xD3EA;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;update.tradfri_e14_kitchen_light_3_ikea_firmware;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;update;
8c:65:a3:ff:fe:35:a2:90;0xFAF8;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;binary_sensor.enrance_vallhorn_opening_3;IKEA of Sweden VALLHORN Wireless Motion Sensor;binary_sensor;
8c:65:a3:ff:fe:35:a2:90;0xFAF8;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;binary_sensor.enrance_vallhorn_occupancy_3;IKEA of Sweden VALLHORN Wireless Motion Sensor;binary_sensor;
8c:65:a3:ff:fe:35:a2:90;0xFAF8;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;button.enrance_vallhorn_identify_3;IKEA of Sweden VALLHORN Wireless Motion Sensor;button;
8c:65:a3:ff:fe:35:a2:90;0xFAF8;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;number.enrance_vallhorn_on_time;IKEA of Sweden VALLHORN Wireless Motion Sensor;number;
8c:65:a3:ff:fe:35:a2:90;0xFAF8;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;sensor.enrance_vallhorn_battery_3;IKEA of Sweden VALLHORN Wireless Motion Sensor;sensor;
8c:65:a3:ff:fe:35:a2:90;0xFAF8;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;sensor.enrance_vallhorn_illuminance_3;IKEA of Sweden VALLHORN Wireless Motion Sensor;sensor;
8c:65:a3:ff:fe:35:a2:90;0xFAF8;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;switch.enrance_vallhorn_on_only_when_dark;IKEA of Sweden VALLHORN Wireless Motion Sensor;switch;
8c:65:a3:ff:fe:35:a2:90;0xFAF8;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;update.enrance_vallhorn_firmware_2;IKEA of Sweden VALLHORN Wireless Motion Sensor;update;
a4:6d:d4:ff:fe:50:95:98;0x5B4F;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;button.ikea_of_sweden_tradfri_bulb_e14_ws_candle_470lm_identify_2;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;button;
a4:6d:d4:ff:fe:50:95:98;0x5B4F;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;light.ikea_of_sweden_tradfri_bulb_e14_ws_candle_470lm_light_2;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;light;
a4:6d:d4:ff:fe:50:95:98;0x5B4F;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;number.ikea_of_sweden_tradfri_bulb_e14_ws_candle_470lm_on_off_transition_time_2;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
a4:6d:d4:ff:fe:50:95:98;0x5B4F;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;number.ikea_of_sweden_tradfri_bulb_e14_ws_candle_470lm_on_level_2;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
a4:6d:d4:ff:fe:50:95:98;0x5B4F;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;number.ikea_of_sweden_tradfri_bulb_e14_ws_candle_470lm_start_up_current_level_2;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
a4:6d:d4:ff:fe:50:95:98;0x5B4F;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;number.ikea_of_sweden_tradfri_bulb_e14_ws_candle_470lm_start_up_color_temperature_2;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
a4:6d:d4:ff:fe:50:95:98;0x5B4F;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;select.ikea_of_sweden_tradfri_bulb_e14_ws_candle_470lm_start_up_behavior_2;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;select;
a4:6d:d4:ff:fe:50:95:98;0x5B4F;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;update.tradfri_bulb_e14_ws_candle_470lm_ikea_firmware_2;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;update;
a4:c1:38:cb:30:71:98:15;0x8ADA;TS0201;Living room temperature and humidity sensor TZ3000;button.temperature_humidity_sensor2_identify;_TZ3000_fllyghyj TS0201;button;
a4:c1:38:cb:30:71:98:15;0x8ADA;TS0201;Living room temperature and humidity sensor TZ3000;sensor.temperature_humidity_sensor2_battery;_TZ3000_fllyghyj TS0201;sensor;
a4:c1:38:cb:30:71:98:15;0x8ADA;TS0201;Living room temperature and humidity sensor TZ3000;sensor.temperature_humidity_sensor2_temperature;_TZ3000_fllyghyj TS0201;sensor;
a4:c1:38:cb:30:71:98:15;0x8ADA;TS0201;Living room temperature and humidity sensor TZ3000;sensor.temperature_humidity_sensor2_humidity;_TZ3000_fllyghyj TS0201;sensor;
a4:c1:38:cb:30:71:98:15;0x8ADA;TS0201;Living room temperature and humidity sensor TZ3000;update.temperature_humidity_sensor2_firmware;_TZ3000_fllyghyj TS0201;update;
5c:c7:c1:ff:fe:b1:54:d2;0xD857;TRADFRI bulb E14 WS globe 470lm;Kitchen light 1 TRADFRI;button.ikea_tradfri_e14_kitchen_light_1_identify;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;button;
5c:c7:c1:ff:fe:b1:54:d2;0xD857;TRADFRI bulb E14 WS globe 470lm;Kitchen light 1 TRADFRI;light.ikea_tradfri_e14_kitchen_light_1_light;IKEA of Sweden TRADFRI bulb E14 WS globe 470lm;light;
