ieee;model;device_name;custom_name
28:76:81:ff:fe:9d:23:4d;STOFTMOLN ceiling/wall lamp WW24;Entrance small ceiling lamp STOFTMOLN;
5c:c7:c1:ff:fe:62:49:49;TRADFRI bulb E14 WS globe 470lm;Kitchen light 3 TRADFRI;
8c:65:a3:ff:fe:35:a2:90;VALLHORN Wireless Motion Sensor;Enrance motion sensor VALLHORN;
a4:6d:d4:ff:fe:50:95:98;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 1 TRADFRI;
a4:c1:38:cb:30:71:98:15;TS0201;Living room temperature and humidity sensor TZ3000;
5c:c7:c1:ff:fe:b1:54:d2;TRADFRI bulb E14 WS globe 470lm;Kitchen light 1 TRADFRI;
94:b2:16:ff:fe:ee:e5:31;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;
a4:c1:38:bd:25:84:f7:ce;TS011F;Living room heater socket TZ3000;
8c:65:a3:ff:fe:c8:a4:fd;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;
8c:65:a3:ff:fe:c8:71:fa;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;
a4:6d:d4:ff:fe:50:55:05;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;
a4:c1:38:00:79:6a:fc:5f;TH01;Dinning room temperature and humidity sensor eWeLink;
a4:c1:38:ff:b7:4f:43:71;TS011F;Second floor stairs garland socket TZ3000;
8c:65:a3:ff:fe:c9:5e:f4;TRADFRI bulb E14 WS candle 470lm;Dining room 3 ceiling light bulb TRADFRI;
a4:c1:38:12:9f:7c:45:39;TS011F;Bedroom light socket TZ3000;
8c:65:a3:ff:fe:df:40:df;TRADFRI bulb E14 WS candle 470lm;Dining room 5 ceiling light bulb TRADFRI;
8c:6f:b9:ff:fe:e1:2c:e5;TRADFRI bulb E27 WS globe 1055lm;Stairs second floor lamp TRADFRI;
2c:11:65:ff:fe:63:b1:b2;TS0501A;Dining room green lamp TZ3000;
90:ab:96:ff:fe:39:30:9b;TRADFRI bulb E27 WW globe 806lm;Sauna lamp TRADFRI;
a4:c1:38:8d:b6:86:5c:dc;TS011F;Living room pilot TZ3000;
30:fb:10:ff:fe:e1:f9:85;TRADFRI bulb E27 WW globe 806lm;Laundry lamp 1 TRADFRI;
70:b3:d5:2b:60:0e:ed:96;TS011F;Dining room socket microwave TZ3000;
34:10:f4:ff:fe:ef:05:7a;TRADFRI bulb E27 CWS globe 806lm;Dining room changing table TRADFRI;
90:ab:96:ff:fe:7c:40:92;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 2 TRADFRI;
8c:6f:b9:ff:fe:cb:80:8c;TRADFRI bulb E27 WS globe 1055lm;Shower lamp TRADFRI;
d8:7a:3b:ff:fe:0e:86:98;TRADFRI bulb E27 WS globe 1055lm;Basement stairs lamp TRADFRI;
90:ab:96:ff:fe:98:72:8d;TRADFRI bulb E27 WW globe 806lm;Laundry lamp 2 TRADFRI;
0c:ae:5f:ff:fe:a6:fb:af;TRADFRI Driver 10W;Kitchen coffee machine driver TRADFRI;
b4:e3:f9:ff:fe:8f:c0:db;PRAKTLYSING cellular blind;Dining room blinder garden PRAKTLYSING;
14:2d:41:ff:fe:48:57:65;TRADFRI Driver 10W;Kitchen sink driver TRADFRI;
b4:e3:f9:ff:fe:93:69:1f;PRAKTLYSING cellular blind;Dining room blinder road PRAKTLYSING;
5c:c7:c1:ff:fe:62:87:c0;TRADFRI bulb E14 WS globe 470lm;Kitchen light 2 TRADFRI;
b4:0e:cf:d0:36:da:00:00;CK-BL702-AL-01(7009_Z102LG03-1);Living room white lamp 1 (top) eWeLink;
a4:6d:d4:ff:fe:50:9f:25;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 3 TRADFRI;
90:39:5e:ff:fe:e6:c0:cb;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 4 TRADFRI;
a4:c1:38:b6:26:01:9b:1e;TS0503B;Fireplace RGB TZ3210;
28:76:81:ff:fe:9c:b1:60;TRADFRI bulb E14 WS candle 470lm;Living room ceiling light 5 TRADFRI;
